"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IL2RG",-2.35265025785043,5.9500025444386,-9.75281265029978,4.97999498420349e-14,3.75491621808943e-11,21.6670583129599
"LTB",-2.90708351105555,6.39531415708772,-9.31672325773385,2.67028788272878e-13,1.00669853178875e-10,20.032393216342
"IL2RB",-2.36484068205555,5.92729964666667,-8.906297316496,1.31589010496628e-12,3.30727046381526e-10,18.4787806758879
"CD247",-2.08122859473932,5.11782996624561,-8.75475978461049,2.37845535307502e-12,4.48338834054642e-10,17.9019546382959
"CXCL9",-3.61499918025214,8.12443830580701,-8.69766487679894,2.97385562512687e-12,4.48457428269131e-10,17.6842256726595
"ITK",-2.28613686902137,5.03955852277193,-8.51707213751223,6.03618987186335e-12,6.907318424011e-10,16.9942331358021
"CXCR6",-1.89150409569658,4.32246805878947,-8.5016605425452,6.41262983661499e-12,6.907318424011e-10,16.9352636184019
"IL2RA",-1.97358448719658,5.21590975482456,-8.26779934034998,1.60819414867416e-11,1.51572298512539e-09,16.0389773802847
"NLRC5",-1.81000032591453,6.91764061340351,-8.23595354252308,1.82303604485514e-11,1.52729908646753e-09,15.9167347955016
"CCL13",-2.88373810857692,4.09024358919298,-8.15402396996592,2.51753308588691e-11,1.8965274853886e-09,15.602059203362
"PTPRC",-1.93508767204701,6.67008302461404,-8.11059070723615,2.98766416084068e-11,1.8965274853886e-09,15.4351417529992
"CD3D",-2.25103786682906,5.0919834318421,-8.10799932564413,3.01834613059194e-11,1.8965274853886e-09,15.4251808502407
"IL7R",-2.23700435267949,5.53415496501754,-8.05330840519116,3.74489190281061e-11,2.17203730363015e-09,15.2149066975324
"CXCR3",-1.9607427832094,4.59416526694737,-7.97922222866402,5.01638296995257e-11,2.55828353305659e-09,14.9299220447363
"CD27",-2.25945185766239,5.40878713477193,-7.97555957816845,5.08942347425052e-11,2.55828353305659e-09,14.9158292462169
"HLA-DMB",-1.58617451149573,6.75263213689474,-7.92909775374069,6.11390360162041e-11,2.88117707226362e-09,14.7370295845015
"PRF1",-2.38608275651282,5.29216651666667,-7.73442345383907,1.31905689388563e-10,5.85040528229275e-09,13.987411041392
"IRF8",-1.68255634403846,5.7850227558772,-7.66632478724679,1.72638568493291e-10,7.23163781355231e-09,13.7250755547118
"IL15RA",-1.66384344657692,6.03035476945614,-7.62024101310074,2.07128035448559e-10,8.21971256464283e-09,13.5475325086178
"PSMB9",-1.93893638450855,7.92731980785965,-7.56486749196426,2.57805149748555e-10,9.71925414552054e-09,13.3341943064004
"IL21R",-1.74930907121367,4.47002154485965,-7.53724697565798,2.8754469669665e-10,1.0039790945635e-08,13.227781696508
"CD96",-2.16425439291026,5.19171862308772,-7.5325454945566,2.92938197352745e-10,1.0039790945635e-08,13.2096687040826
"CD3E",-2.44624059636752,5.55736445649123,-7.49553494752849,3.3908498762757e-10,1.11160904639647e-08,13.0670850804266
"IDO1",-2.93965852982479,6.02861117682456,-7.44592661763559,4.12537683775406e-10,1.29605588986107e-08,12.8759834569279
"IRF1",-1.82145670426068,6.74880715389474,-7.43403274060042,4.32393527256509e-10,1.30409887820563e-08,12.8301692177298
"CD4",-1.33444404580769,6.17688334175439,-7.31076644421471,7.03766045878405e-10,1.98360127220829e-08,12.3554745126009
"KLRK1",-2.02845330782906,4.93259666824561,-7.30842446223338,7.10308147872995e-10,1.98360127220829e-08,12.346458189461
"CD2",-1.86396931166239,4.1397782281579,-7.25196059242046,8.87805786056815e-10,2.315097837635e-08,12.1291165838971
"MMP12",-3.02007091501282,4.6007711634386,-7.24351002959794,9.17938952265878e-10,2.315097837635e-08,12.0965951226708
